Name,ID,URL,Country,Status,PIU Issuance,Developer,Validator,Start Year,End Year,Duration,Area,Emission Reductions,Claimable Emission Reductions,Latitude,Longitude,Subarea; Blanket Bog; Actively Eroding: Hagg/Gully,Subarea; Blanket Bog; Actively Eroding: Flat Bare,Subarea; Blanket Bog; Drained: Artificial,Subarea; Blanket Bog; Drained: Hagg/Gully,Subarea; Blanket Bog; Modified,Subarea; Blanket Bog; Near Natural,Subarea; Raised Bog; Actively Eroding: Hagg/Gully,Subarea; Raised Bog; Actively Eroding: Flat Bare,Subarea; Raised Bog; Drained: Artificial,Subarea; Raised Bog; Drained: Hagg/Gully,Subarea; Raised Bog; Modified,Subarea; Raised Bog; Near Natural,Subarea; Cropland; Drained,Subarea; Grassland; Intensive Drained,Subarea; Grassland; Extensive Drained,Subarea; Fen; Modified
Dalnamein,104000000028555,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028555,Scotland,Under Development,Unissued,RCT Peatland,Soil Association Certification Ltd,2025,2125,100,27.699,4986,4238,56.834435,-4.042134,0.0,0.0,27.699,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Darnbrook Fell and Fountains Fell,104000000029037,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029037,England,Under Development,Unissued,Yorkshire Wildlife Trust,Organic Farmers & Growers C.I.C.,2025,2060,35,204.43,15636,13291,54.143705,-2.174476,0.05,2.97,14.93,186.48,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Delnadamph: Site 1 – The Fèithe,104000000028414,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028414,Scotland,Validated,Issued,Palladium International Ltd,Organic Farmers & Growers C.I.C.,2024,2124,100,136.36,34961,29717,57.18379,-3.31682,4.85,1.84,54.07,75.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Delnadamph: Site 2 - Upper River Don,104000000028928,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028928,Scotland,Validated,Unissued,Palladium International Ltd,Soil Association Certification Ltd,2025,2075,50,96.27,12681,10779,57.1647,-3.3343,0.98,0.01,72.82,22.46,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Delnadamph: Site 3 - Culchavie,104000000029359,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029359,Scotland,Under Development,Unissued,Palladium International Ltd,Soil Association Certification Ltd,2025,2125,100,121.404,28717,24409,57.136199,-3.315133,2.65,0.0,26.085,92.669,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Delnadamph: Site 4 - Badachurn,104000000029360,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029360,Scotland,Under Development,Unissued,Palladium International Ltd,Soil Association Certification Ltd,2025,2125,100,22.622,2172,1847,57.152059,-3.25784,0.175,0.0,13.054,9.393,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Denton Moor,104000000028998,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028998,England,Under Development,Unissued,Yorkshire Wildlife Trust,Soil Association Certification Ltd,2025,2055,30,51.32,3267,2695,53.964782,-1.781999,0.0,0.06,9.77,41.49,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Dryhope,104000000026987,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000026987,Scotland,Restoration Validated,Issued,Forest Carbon Ltd,Organic Farmers & Growers C.I.C.,2018,2063,45,77.05,7628,6484,55.535045,-3.229482,1.98,0.0,19.67,55.4,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
"Duich Moss, Laggan Estate",104000000027807,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000027807,Scotland,Restoration Validated,Issued,Forest Carbon Ltd,Organic Farmers & Growers C.I.C.,2022,2122,100,213.076,42269,35929,55.72081,-6.25651,0.0,0.0,3.729,209.347,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Dunlossit D1&D2,104000000028072,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028072,Scotland,Validated,Unissued,Caledonian Climate,Organic Farmers & Growers C.I.C.,2025,2125,100,261.94,70613,60021,55.73916,-6.22025,0.04,0.0,259.82,2.08,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Dunlossit D4&D10,104000000029299,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029299,Scotland,Under Development,Unissued,Caledonian Climate,Soil Association Certification Ltd,2025,2098,73,99.92,20724,17615,55.784683,-6.124635,1.26,0.0,79.85,18.81,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Eas Eonan,104000000029168,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029168,Scotland,Under Development,Unissued,Forest Carbon Ltd,Soil Association Certification Ltd,2025,2125,100,133.0,29484,25061,56.375362,-4.694496,3.0,0.0,0.0,130.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Esgair Hengae,104000000028901,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028901,Wales,Under Development,Unissued,Elan Valley Trust,Organic Farmers & Growers C.I.C.,2025,2055,30,15.3,1303,1108,52.304407,-3.745251,1.02,0.0,0.0,14.28,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Fannich (Phases 1-3),104000000027040,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000027040,Scotland,Validated,Issued,Angus Davidson Ltd,Organic Farmers & Growers C.I.C.,2022,2122,100,256.99,86631,73636,57.669726,-5.004554,23.76,2.17,44.0,187.06,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
FLS PC Corries N Dalchork,104000000028035,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028035,Scotland,Validated,Unissued,Forestry and Land Scotland,Organic Farmers & Growers C.I.C.,2025,2080,55,367.85,55993,47594,58.164918,-4.393611,22.86,0.0,0.0,344.99,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Gadfa,104000000028554,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028554,Wales,Under Development,Unissued,Severn Trent Plc,Organic Farmers & Growers C.I.C.,2025,2055,30,233.11,13415,11403,52.786772,-3.585065,1.77,0.0,69.79,161.55,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Gaick peatland restoration - Phase 1,104000000029501,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029501,Scotland,Under Development,Unissued,Bidwells LLP,Soil Association Certification Ltd,2025,2110,85,79.83,14599,12409,56.970134,-3.985394,1.32,0.0,0.0,78.51,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Gannochy Phase 1,104000000028450,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028450,Scotland,Validated,Issued,Land Carbon Ltd,Soil Association Certification Ltd,2023,2123,100,72.6,28281,24039,56.847045,-2.757383,4.3,5.4,0.0,62.9,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Garrigill,104000000028675,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028675,England,Under Development,Unissued,Durham County Council (NPAP),Soil Association Certification Ltd,2025,2075,50,62.96,8110,6893,54.736136,-2.450353,0.95,2.45,0.0,59.56,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
"Garron Plateau, Compartment 4",104000000028977,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028977,Northern Ireland,Under Development,Unissued,RSPB,Soil Association Certification Ltd,2025,2055,30,104.9,12574,10688,54.980634,-6.124544,14.79,0.0,7.03,83.08,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Garynahine Phase 1,104000000028502,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028502,Scotland,Validated,Issued,Land Carbon Ltd,Soil Association Certification Ltd,2023,2123,100,61.0,15028,12774,58.17205,-6.677,1.9,0.7,26.9,31.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
GDM Phase 1,104000000029048,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029048,Scotland,Under Development,Unissued,Scottish Woodlands Ltd,Soil Association Certification Ltd,2025,2105,80,147.52,29097,24732,56.913404,-2.615843,5.06,0.16,22.02,120.28,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Geltsdale Middle Peatland Code,104000000028803,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028803,England,Under Development,Unissued,Durham County Council (NPAP),N/A,2025,2115,90,238.35,53728,45669,54.865787,-2.601371,11.67,0.0,0.0,226.68,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Ghlas-choire Fersit (K) & Coire Cregach (Q),104000000028564,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028564,Scotland,Restoration Validated,Issued,Ossian (Scotland) Limited,Soil Association Certification Ltd,2023,2098,75,175.21,41213,35031,56.770474,-4.583637,12.8,3.31,0.0,156.48,0.0,0,2.62,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Glaslyn,104000000026996,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000026996,Wales,Validated,Unissued,Montgomeryshire Wildlife Trust,Organic Farmers & Growers C.I.C.,2025,2080,55,34.0,1108,942,52.532074,-3.732152,0.0,0.0,11.19,0.0,22.81,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Glenapp Phase 1,104000000029172,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029172,Scotland,Under Development,Unissued,Glenapp Estate Company Ltd,Soil Association Certification Ltd,2025,2095,70,93.01,16072,13661,55.047406,-4.941176,1.98,0.0,33.88,57.15,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Glenaros,104000000028274,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028274,Scotland,Under Development,Unissued,The Future Forest Company,Organic Farmers & Growers C.I.C.,2025,2125,100,21.0,3780,3213,56.532072,-6.004112,0.0,0.0,21.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Glencarron 1 [Coire na Glas-lic],104000000029285,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029285,Scotland,Under Development,Unissued,Angus Davidson Ltd,N/A,2025,2075,50,83.41,10022,8518,57.516716,-5.160654,2.83,0.48,0.0,80.1,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Glenfeshie peatland restoration - Phase 4,104000000028283,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028283,Scotland,Restoration Validated,Issued,Wildland Limited,Soil Association Certification Ltd,2021,2121,100,35.39,9095,7731,56.977231,-3.916332,1.75,0.0,0.0,33.64,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Glenfeshie peatland restoration - Phase 5,104000000028284,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028284,Scotland,Restoration Validated,Issued,Wildland Limited,Soil Association Certification Ltd,2022,2112,90,62.01,10494,8920,56.972795,-3.941771,0.32,0.0,0.0,61.69,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Glenfeshie peatland restoration - Phase 6,104000000028446,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028446,Scotland,Validated,Issued,Wildland Limited,Soil Association Certification Ltd,2022,2112,90,94.56,15823,13450,56.970548,-3.959093,0.36,0.0,0.0,94.2,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Glenfeshie peatland restoration - Phase 7,104000000028837,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028837,Scotland,Under Development,Unissued,Wildland Limited,Soil Association Certification Ltd,2025,2095,70,47.393,6278,5336,56.956235,-3.955053,0.281,0.0,0.0,47.112,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Glen Finglas Peat,104000000027772,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000027772,Scotland,Under Development,Unissued,Woodland Trust,Organic Farmers & Growers C.I.C.,2025,2125,100,197.87,50044,42537,56.292429,-4.423762,8.43,0.6,16.5,172.34,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Glen Finglas Peat Phase 3,104000000027892,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000027892,Scotland,Under Development,Unissued,Woodland Trust,Organic Farmers & Growers C.I.C.,2025,2075,50,132.804,16506,14030,56.29399,-4.41238,3.11,0.26,43.3,86.134,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Glenmuick Peatland Restoration Phase 1,104000000029067,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029067,Scotland,Under Development,Unissued,The Okeover Estate,N/A,2025,2125,100,46.19,11513,9786,57.015083,-3.006176,0.75,0.0,21.83,23.61,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Glutt 2,104000000028253,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028253,Scotland,Under Development,Unissued,Dunbeath Partnership,N/A,2025,2125,100,636.846,131540,111809,58.29622,-3.741777,10.859,0.0,191.172,434.815,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Glutt 3,104000000028254,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028254,Scotland,Under Development,Unissued,Dunbeath Partnership,N/A,2025,2125,100,29.58,16473,14002,58.29551,-3.79292,3.294,3.866,0.0,22.42,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Glutt Estate 1,104000000026981,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000026981,Scotland,Restoration Validated,Issued,Dunbeath Partnership,Organic Farmers & Growers C.I.C.,2022,2122,100,409.24,74956,63713,58.30301,-3.704567,0.83,0.0,371.35,37.06,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Grianan & Machrie,104000000028549,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028549,Scotland,Validated,Unissued,Forest Carbon Ltd,Organic Farmers & Growers C.I.C.,2025,2075,50,42.732,3897,3312,55.654904,-6.240253,0.0,0.066,41.462,1.204,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Grimersta Estate (Phase 1),104000000028557,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028557,Scotland,Under Development,Unissued,Caledonian Climate,Organic Farmers & Growers C.I.C.,2025,2125,100,153.78,50039,42533,58.137722,-6.777948,12.47,1.89,0.59,138.83,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Grinton Estate,104000000028439,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028439,England,Under Development,Unissued,Yorkshire Wildlife Trust,N/A,2025,2055,30,212.72,14563,12378,54.360425,-1.999966,1.64,3.49,14.05,193.54,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Groes Bryn-Llwyd,104000000026995,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000026995,Wales,Under Development,Unissued,Snowdonia National Park Authority,Organic Farmers & Growers C.I.C.,2025,2055,30,66.0,0,0,52.315298,-3.738344,66.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Gruinard Estate (Phase 1),104000000026984,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000026984,Scotland,Validated,Unissued,Caledonian Climate,Organic Farmers & Growers C.I.C.,2025,2125,100,175.36,50498,42923,57.747893,-5.189227,9.97,2.19,163.2,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Gruinard Estate (Phase 2),104000000029018,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029018,Scotland,Under Development,Unissued,Caledonian Climate,Soil Association Certification Ltd,2025,2080,55,208.16,38623,32830,57.77121,-5.191284,8.98,3.61,14.21,181.36,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
"Hafod, Lake Vyrnwy",104000000029124,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029124,Wales,Under Development,Unissued,Severn Trent Plc,Organic Farmers & Growers C.I.C.,2025,2055,30,136.39,10211,8680,52.771926,-3.551913,1.24,0.0,79.57,55.58,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Hangingstone Hill Phase 1,104000000028128,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028128,England,Under Development,Unissued,Duchy of Cornwall,Organic Farmers & Growers C.I.C.,2025,2055,30,107.78,10580,8993,50.65264,-3.96199,6.53,3.66,0.0,97.59,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Hareden Fell,104000000027811,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000027811,England,Under Development,Unissued,Yorkshire Wildlife Trust,Organic Farmers & Growers C.I.C.,2025,2060,35,49.887,4465,3795,53.922113,-2.60447,1.06,1.365,0.0,47.462,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Hengwm,104000000027981,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000027981,Wales,Under Development,Unissued,Snowdonia National Park Authority,Organic Farmers & Growers C.I.C.,2025,2060,35,38.96,3899,3314,52.76764,-3.66885,2.56,0.09,12.88,23.43,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Holcombe,104000000028993,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028993,England,Under Development,Unissued,National Trust,N/A,2025,2055,30,32.16,2438,2072,53.666918,-2.366221,0.39,1.25,0.0,30.52,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Holme House Fell,104000000027270,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000027270,England,Validated,Unissued,Yorkshire Wildlife Trust,Organic Farmers & Growers C.I.C.,2025,2060,35,22.28,1664,1414,53.926881,-2.621291,0.47,0.0,0.0,21.81,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Invercassley Phase 1 - Carn Beag,104000000029326,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029326,Scotland,Under Development,Unissued,Caledonian Climate,Soil Association Certification Ltd,2025,2065,40,247.26,26838,22812,57.988777,-4.640368,0.13,0.23,246.48,0.42,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Inverlael 3 [Gleann a' Mhadaidh],104000000028981,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028981,Scotland,Under Development,Unissued,Angus Davidson Ltd,Soil Association Certification Ltd,2025,2075,50,122.842,23202,19722,57.826714,-4.97887,19.983,0.379,0.0,102.48,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Inverlael Estate (Phase 1),104000000026988,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000026988,Scotland,Validated,Unissued,Angus Davidson Ltd,Organic Farmers & Growers C.I.C.,2025,2125,100,101.12,37213,31631,57.834669,-4.984583,9.45,2.76,0.0,88.91,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Invermark Estate (Phase 1),104000000026986,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000026986,Scotland,Under Development,Unissued,Angus Davidson Ltd,Organic Farmers & Growers C.I.C.,2025,2055,30,451.64,0,0,56.955477,-2.930579,451.64,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Killhope Head Peatland Code,104000000027214,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000027214,England,Validated,Unissued,Durham County Council (NPAP),Organic Farmers & Growers C.I.C.,2025,2055,30,29.17,3710,3153,54.789591,-2.312543,4.57,0.0,0.0,24.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Kinder 24-25,104000000029357,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029357,England,Under Development,Unissued,National Trust,N/A,2025,2055,30,349.86,23113,19646,53.390564,-1.86764,1.24,6.18,0.0,342.44,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Kingsdale Head,104000000028462,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028462,England,Under Development,Unissued,Yorkshire Wildlife Trust,Organic Farmers & Growers C.I.C.,2025,2060,35,233.22,14867,12637,54.217634,-2.437022,0.02,0.3,178.3,54.6,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Kinlochdamph Phase 1,104000000028290,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028290,Scotland,Validated,Issued,Land Carbon Ltd,Organic Farmers & Growers C.I.C.,2022,2092,70,91.5,19376,16470,57.435843,-5.595384,6.3,0.9,35.8,48.5,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Laggan Phase 2,104000000028473,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028473,Scotland,Validated,Unissued,Forest Carbon Ltd,Soil Association Certification Ltd,2025,2100,75,188.833,25492,21668,55.70882,-6.239283,0.0,0.0,150.543,38.29,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Laggan Phase 3,104000000028939,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028939,Scotland,Under Development,Unissued,Forest Carbon Ltd,N/A,2025,2125,100,81.962,20892,17758,55.6924,-6.16585,1.351,0.0,44.785,35.826,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Larriston Fells,104000000028871,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000028871,Scotland,Under Development,Unissued,Forest Carbon Ltd,Soil Association Certification Ltd,2025,2125,100,42.71,7688,6535,55.238419,-2.658879,0.0,0.0,42.71,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
Latheronwheel Estate (Phase 1),104000000029014,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000029014,Scotland,Under Development,Unissued,Caledonian Climate,Soil Association Certification Ltd,2025,2125,100,284.13,74107,62991,58.356386,-3.455911,3.24,0.01,199.77,81.11,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
